cd_cnpj;nu_ordem;cd_ramo_atividade;de_ramo_atividade
20067211000230;0;4744001;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
10700005000180;0~@~1~@~2~@~3~@~4;8512100~@~8592903~@~8592999~@~9001902~@~9313100;ATIVIDADES DE CONDICIONAMENTO FISICO~@~EDUCACAO INFANTIL  PREESCOLA~@~ENSINO DE ARTE E CULTURA NAO ESPECIFICADO ANTERIORMENTE~@~ENSINO DE MUSICA~@~PRODUCAO MUSICAL
87733283001130;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
26853176000180;0~@~1;4731800~@~4732600;COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES~@~COMERCIO VAREJISTA DE LUBRIFICANTES
77678456000130;0;7119701;SERVICOS DE CARTOGRAFIA, TOPOGRAFIA E GEODESIA
13148917000180;0~@~1;5611202~@~5611203;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS~@~LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
09262455000150;0~@~1;8219999~@~8291100;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS~@~PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE
11702899000100;0~@~1~@~2~@~3~@~4;4751200~@~4762800~@~4763601~@~9329804~@~9511800;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS~@~COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~EXPLORACAO DE JOGOS ELETRONICOS RECREATIVOS~@~REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
10869713000140;0~@~1~@~2~@~3~@~4;4651601~@~4652400~@~4751200~@~4752100~@~9512600;COMERCIO ATACADISTA DE COMPONENTES ELETRONICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICACAO~@~COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~REPARACAO E MANUTENCAO DE EQUIPAMENTOS DE COMUNICACAO
14391043000150;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
15689389000100;0~@~1~@~2;0151203~@~0210101~@~0210105;CRIACAO DE BOVINOS, EXCETO PARA CORTE E LEITE~@~CULTIVO DE ESPECIES MADEIREIRAS, EXCETO EUCALIPTO, ACACIANEGRA, PINUS E TECA~@~CULTIVO DE EUCALIPTO
15687912000150;0~@~1~@~2~@~3~@~4;4723700~@~4752100~@~4762800~@~5611203~@~5620104;COMERCIO VAREJISTA DE BEBIDAS~@~COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO~@~FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR~@~LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
15687956000180;0;2330399;FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES
04173247000160;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
12212383000140;0~@~1;4637199~@~4649499;COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
73653677000100;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
00772969000180;0;4722901;COMERCIO VAREJISTA DE CARNES  ACOUGUES
05051819000100;0;6911701;SERVICOS ADVOCATICIOS
10521867000650;0~@~1~@~2;0113000~@~0151203~@~6810202;ALUGUEL DE IMOVEIS PROPRIOS~@~CRIACAO DE BOVINOS, EXCETO PARA CORTE E LEITE~@~CULTIVO DE CANADEACUCAR
15788994000120;0~@~1~@~2;4755502~@~4789005~@~5611203;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO~@~COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS~@~LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
11971723000820;0~@~1~@~2;8211300~@~8220200~@~8299799;ATIVIDADES DE TELEATENDIMENTO~@~OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE~@~SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO
12296478000190;0;9312300;CLUBES SOCIAIS, ESPORTIVOS E SIMILARES
12128171000180;0;4618401;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MEDICAMENTOS, COSMETICOS E PRODUTOS DE PERFUMARIA
02316333000150;0;2593400;FABRICACAO DE ARTIGOS DE METAL PARA USO DOMESTICO E PESSOAL
02688631000170;0~@~1~@~2;9430800~@~9493600~@~9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE~@~ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS~@~ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE
02631181000180;0~@~1;4789008~@~8219901;COMERCIO VAREJISTA DE ARTIGOS FOTOGRAFICOS E PARA FILMAGEM~@~FOTOCOPIAS
03275635000190;0;5611201;RESTAURANTES E SIMILARES
03864419000180;0~@~1;6202300~@~6203100;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS~@~DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NAOCUSTOMIZAVEIS
15463157000120;0~@~1~@~2~@~3~@~4;4930201~@~4930202~@~5212500~@~7711000~@~7719599;CARGA E DESCARGA~@~LOCACAO DE AUTOMOVEIS SEM CONDUTOR~@~LOCACAO DE OUTROS MEIOS DE TRANSPORTE NAO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL
05950531000240;0;4687702;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS NAOMETALICOS, EXCETO DE PAPEL E PAPELAO
03595877000160;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
10975651000150;0~@~1;4330405~@~8121400;APLICACAO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES~@~LIMPEZA EM PREDIOS E EM DOMICILIOS
00202087000260;0~@~1~@~2~@~3~@~4;4520001~@~4520002~@~4520003~@~4520004~@~4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES~@~SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
11831524000140;0;4729699;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
12108443000180;0~@~1;0111302~@~0151201;CRIACAO DE BOVINOS PARA CORTE~@~CULTIVO DE MILHO
12182936000160;0;8291100;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS
09243141000100;0~@~1~@~2~@~3~@~4;4751200~@~4752100~@~4753900~@~9512600~@~9521500;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~REPARACAO E MANUTENCAO DE EQUIPAMENTOS DE COMUNICACAO~@~REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO
15633284000120;0~@~1;7020400~@~9609299;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA~@~OUTRAS ATIVIDADES DE SERVICOS PESSOAIS NAO ESPECIFICADAS ANTERIORMENTE
15811167000100;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS
15636443000140;0;4923001;SERVICO DE TAXI
80648561000130;0~@~1~@~2~@~3~@~4;6399200~@~7410299~@~7490105~@~7490199~@~8299799;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS~@~ATIVIDADES DE DESIGN NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE
06927794000110;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS
09193796000110;0;1013901;FABRICACAO DE PRODUTOS DE CARNE
22061477000110;0~@~1;0810006~@~0990403;ATIVIDADES DE APOIO A EXTRACAO DE MINERAIS NAOMETALICOS~@~EXTRACAO DE AREIA, CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO
01120921000150;0~@~1~@~2~@~3;4669999~@~4687701~@~4687702~@~4687703;COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE, PARTES E PECAS~@~COMERCIO ATACADISTA DE RESIDUOS DE PAPEL E PAPELAO~@~COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS~@~COMERCIO ATACADISTA DE RESIDUOS E SUCATAS NAOMETALICOS, EXCETO DE PAPEL E PAPELAO
12877392000150;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
02914988000120;0~@~1;4753900~@~4759899;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO
10143773000180;0~@~1;4930201~@~4930202;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL
04523923000260;0;4211101;CONSTRUCAO DE RODOVIAS E FERROVIAS
08872028000120;0~@~1~@~2;4759899~@~4761003~@~4789099;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA~@~COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
08904691000160;0;0151201;CRIACAO DE BOVINOS PARA CORTE
07436233000180;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
12648414000100;0~@~1~@~2~@~3~@~4;4755502~@~4755503~@~4772500~@~4781400~@~4782201;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO~@~COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO~@~COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~COMERCIO VAREJISTA DE CALCADOS~@~COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL
23940356000100;0~@~1~@~2;1033301~@~2222600~@~4686902;COMERCIO ATACADISTA DE EMBALAGENS~@~FABRICACAO DE EMBALAGENS DE MATERIAL PLASTICO~@~FABRICACAO DE SUCOS CONCENTRADOS DE FRUTAS, HORTALICAS E LEGUMES
13201307000100;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
12044050000150;0~@~1;1531901~@~1531902;ACABAMENTO DE CALCADOS DE COURO SOB CONTRATO~@~FABRICACAO DE CALCADOS DE COURO
45184678000100;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS
08850666000140;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
21667142000420;0~@~1;4313400~@~4319300;OBRAS DE TERRAPLENAGEM~@~SERVICOS DE PREPARACAO DO TERRENO NAO ESPECIFICADOS ANTERIORMENTE
12960988000110;0;4782201;COMERCIO VAREJISTA DE CALCADOS
95454062000180;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA
03950923000100;0~@~1~@~2~@~3;4755502~@~4783101~@~4783102~@~9529103;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO~@~COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA~@~COMERCIO VAREJISTA DE ARTIGOS DE RELOJOARIA~@~REPARACAO DE RELOGIOS
04566273000230;0~@~1;1412601~@~1412603;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA~@~FACCAO DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS
12196704000160;0;4713002;LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES
14765573000110;0;7729202;ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS
74824335000160;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
02661967000220;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS
01014455000200;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
11662052000140;0~@~1;4754701~@~7319001;COMERCIO VAREJISTA DE MOVEIS~@~CRIACAO DE ESTANDES PARA FEIRAS E EXPOSICOES
12575040000140;0~@~1;1411801~@~4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~CONFECCAO DE ROUPAS INTIMAS
14641387000170;0~@~1~@~2~@~3;4520001~@~4520003~@~4520004~@~4520007;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES~@~SERVICOS DE INSTALACAO, MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
15589376000150;0~@~1~@~2~@~3;4712100~@~5611201~@~5611202~@~5611203;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS~@~COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS~@~LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES~@~RESTAURANTES E SIMILARES
13396865000160;0~@~1;4520001~@~4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
12534798000130;0~@~1~@~2~@~3~@~4;3811400~@~4120400~@~4313400~@~4744099~@~8129000;ATIVIDADES DE LIMPEZA NAO ESPECIFICADAS ANTERIORMENTE~@~COLETA DE RESIDUOS NAOPERIGOSOS~@~COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL~@~CONSTRUCAO DE EDIFICIOS~@~OBRAS DE TERRAPLENAGEM
11125098000120;0~@~1~@~2~@~3~@~4;4721104~@~4751200~@~6190602~@~8219999~@~8299707;COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE~@~PROVEDORES DE VOZ SOBRE PROTOCOLO INTERNET  VOIP~@~SALAS DE ACESSO A INTERNET
07180914000120;0~@~1~@~2~@~3~@~4;4530703~@~4729602~@~4731800~@~4732600~@~4784900;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES~@~COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP~@~COMERCIO VAREJISTA DE LUBRIFICANTES~@~COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA
09497946000180;0~@~1~@~2~@~3~@~4;4120400~@~4321500~@~4322301~@~4330404~@~4330405;APLICACAO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES~@~CONSTRUCAO DE EDIFICIOS~@~INSTALACAO E MANUTENCAO ELETRICA~@~INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS~@~SERVICOS DE PINTURA DE EDIFICIOS EM GERAL
01966398000420;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
11912092000100;0~@~1~@~2~@~3~@~4;1813001~@~1813099~@~1822999~@~8219901~@~8299703;FOTOCOPIAS~@~IMPRESSAO DE MATERIAL PARA OUTROS USOS~@~IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO~@~SERVICOS DE ACABAMENTOS GRAFICOS, EXCETO ENCADERNACAO E PLASTIFICACAO~@~SERVICOS DE GRAVACAO DE CARIMBOS, EXCETO CONFECCAO
13707897000130;0~@~1~@~2~@~3;0810006~@~4679604~@~4930201~@~4930202;COMERCIO ATACADISTA ESPECIALIZADO DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE~@~EXTRACAO DE AREIA, CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL
15575428000130;0;5611201;RESTAURANTES E SIMILARES
15710326000180;0;4711302;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS
13528281000100;0~@~1~@~2;4752100~@~4753900~@~4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO
12544894000160;0;4330404;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL
11572596000110;0~@~1;4930202~@~4930204;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL~@~TRANSPORTE RODOVIARIO DE MUDANCAS
11516619000170;0;4623102;COMERCIO ATACADISTA DE COUROS, LAS, PELES E OUTROS SUBPRODUTOS NAOCOMESTIVEIS DE ORIGEM ANIMAL
15229332000110;0~@~1~@~2~@~3;4755502~@~4755503~@~4781400~@~4782202;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO~@~COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO~@~COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM~@~COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
15257246000110;0~@~1~@~2~@~3~@~4;3314701~@~3314702~@~4329104~@~4399103~@~4520001;MANUTENCAO E REPARACAO DE EQUIPAMENTOS HIDRAULICOS E PNEUMATICOS, EXCETO VALVULAS~@~MANUTENCAO E REPARACAO DE MAQUINAS MOTRIZES NAOELETRICAS~@~MONTAGEM E INSTALACAO DE SISTEMAS E EQUIPAMENTOS DE ILUMINACAO E SINALIZACAO EM VIAS PUBLICAS, PORTOS E AEROPORTOS~@~OBRAS DE ALVENARIA~@~SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
11066907000170;0;0810007;EXTRACAO DE ARGILA E BENEFICIAMENTO ASSOCIADO
09563225000120;0~@~1~@~2~@~3~@~4;4292801~@~4321500~@~4322301~@~4399102~@~4399103;INSTALACAO E MANUTENCAO ELETRICA~@~INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS~@~MONTAGEM DE ESTRUTURAS METALICAS~@~MONTAGEM E DESMONTAGEM DE ANDAIMES E OUTRAS ESTRUTURAS TEMPORARIAS~@~OBRAS DE ALVENARIA
15240665000140;0~@~1~@~2~@~3~@~4;2542000~@~4330404~@~4330405~@~4399103~@~4399199;APLICACAO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES~@~FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS~@~OBRAS DE ALVENARIA~@~SERVICOS DE PINTURA DE EDIFICIOS EM GERAL~@~SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE
04769013000180;0~@~1~@~2;9430800~@~9493600~@~9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE~@~ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS~@~ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE
04018504000190;0;9521500;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO
69236024000140;0~@~1;1422300~@~4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~FABRICACAO DE ARTIGOS DO VESTUARIO, PRODUZIDOS EM MALHARIAS E TRICOTAGENS, EXCETO MEIAS
02109454000120;0~@~1~@~2~@~3;4759899~@~4761003~@~4781400~@~4924800;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA~@~COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE~@~TRANSPORTE ESCOLAR
03228752000100;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
52030038000100;0;4110700;INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS
11070041000170;0~@~1~@~2;4712100~@~4721103~@~4724500;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS~@~COMERCIO VAREJISTA DE LATICINIOS E FRIOS~@~COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
15597382000150;0~@~1~@~2~@~3~@~4;4713002~@~4762800~@~4781400~@~4789001~@~8299707;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS~@~COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS~@~LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES~@~SALAS DE ACESSO A INTERNET
15727788000100;0;9511800;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
04487307000110;0;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
06264558000160;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
74216086000120;0~@~1~@~2;4930201~@~4930202~@~4930204;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL~@~TRANSPORTE RODOVIARIO DE MUDANCAS
07253563000130;0~@~1~@~2~@~3~@~4;4713001~@~4759899~@~4761003~@~4789005~@~4789099;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA~@~COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS~@~LOJAS DE DEPARTAMENTOS OU MAGAZINES
83810556000170;0;8411600;ADMINISTRACAO PUBLICA EM GERAL
13263082000290;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
04122992000180;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
10282126000150;0~@~1~@~2~@~3~@~4;4520001~@~4520003~@~4520007~@~4530703~@~4753900;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO~@~SERVICOS DE INSTALACAO, MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
04203309000130;0;4619200;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO
