cd_cnpj;fl_matriz;dt_abertura;nm_razao_social;cd_natureza_juridica;de_natureza_juridica;nm_logradouro;nu_logradouro;cd_cep;nm_bairro;nm_municipio;sg_uf;de_situacao;de_classif_natureza_juridica
15267189000150;1;3/27/2012;STEFANE VARGAS TAVARES MEI;2135;EMPRESARIO INDIVIDUAL;RUA JOSE CLETO;1811;31155290;SANTA CRUZ;BELO HORIZONTE;MG;ATIVA;PRIVADO
12936450000170;1;11/26/2010;ANDRE DOS SANTOS FARIAS MEI;2135;EMPRESARIO INDIVIDUAL;RUA SAO JULIO JD PAMPULHA;311;41219070;MATA ESCURA;SALVADOR;BA;ATIVA;PRIVADO
16947509000500;0;11/22/2006;REDE GEFS POSTOS DE SERVICOS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RODOVIA RIO BAHIA BR;116;35130000;ZONA RURAL;ENGENHEIRO CALDAS;MG;ATIVA;PRIVADO
07717696000110;1;11/21/2005;SOARES DA SILVA & CIA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA BARROS FALCAO;505;40255370;BROTAS;SALVADOR;BA;ATIVA;PRIVADO
06553564015160;0;6/7/2005;PIAUI SECRETARIA DE SAUDE;1023;ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;RUA OSVALDO COSTA E SILVA;SN;64055410;PICARREIRA;TERESINA;PI;ATIVA;PUBLICO
06538047000190;1;9/19/2003;PARTIDO SOCIAL DEMOCRATA CRISTAO;3271;ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO;LOTEAMENTO SANTO ANTONIO;80;48860000;CENTRO;QUEIMADAS;BA;ATIVA;PUBLICO
12943168000110;1;12/1/2010;MOISES HENRIQUE MARTINS MEI;2135;EMPRESARIO INDIVIDUAL;RUA ICICARIBA;29A;03980040;JARDIM ELBA;SAO PAULO;SP;ATIVA;PRIVADO
04407929000190;1;4/26/2001;COMERCIAL DELION LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JOAQUIM FRANKLIN CORDEIRO;61;56517030;SAO GERALDO;ARCOVERDE;PE;ATIVA;PRIVADO
10658998000170;1;1/19/2009;ALEXANDRE CACIANO DA ROSA ME;2135;EMPRESARIO INDIVIDUAL;ESTRADA RS 407;4068;95588000;GUARA;XANGRI LA;RS;ATIVA;PRIVADO
09501618000100;1;4/16/2008;LUIZ RICARDO GHELERE MOVEIS ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA INDEPENDENCIA;1054;86130970;CENTRO;BELA VISTA DO PARAISO;PR;ATIVA;PRIVADO
03866963000160;1;5/8/2000;FUNDACAO VALE DO PIRANHAS FUMVAP;3999;ASSOCIACAO PRIVADA;RUA FRANCISCO DE PAULA SALDANHA;SN;58865000;CENTRO;SAO BENTO;PB;ATIVA;PRIVADO
13228321000190;1;2/9/2011;DEILANE GOMES SOMBRA DE OLIVEIRA MEI;2135;EMPRESARIO INDIVIDUAL;RUA MUIRA;1803;60865280;JANGURUSSU;FORTALEZA;CE;BAIXADA;PRIVADO
11080236000100;1;8/20/2009;SEDA TRANSPORTES LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JOAO VERGILIO DE PAULA NETO;10;87630000;CENTRO;ATALAIA;PR;ATIVA;PRIVADO
08525932000160;1;12/15/2006;GUILHERME LUSTOSA DA CUNHA;4120;PRODUTOR RURAL PESSOA FISICA;FAZENDA PITANGA;SN;14150000;ZONA RURAL;SERRANA;SP;ATIVA;PRIVADO
88617220000100;1;8/22/1966;DALL ONDER REPRESENTACOES COMERCIAIS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DOS JACARANDAS;455;95012280;CINQUENTENARIO;CAXIAS DO SUL;RS;ATIVA;PRIVADO
07004855000130;1;9/23/2004;DALMIR BENEDITO RODRIGUES SUARES & CIA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RODOVIA BR 40;;38600000;AMOREIRAS;PARACATU;MG;ATIVA;PRIVADO
13029387000150;1;12/8/2010;TATIANE DE FATIMA FERREIRA BUENO ME;2135;EMPRESARIO INDIVIDUAL;RUA SANTA RITA DURAO;42;84045230;OFICINAS;PONTA GROSSA;PR;ATIVA;PRIVADO
14036198000330;0;10/18/2007;NICODEMOS ALVES DE AGUIAR EPP;2135;EMPRESARIO INDIVIDUAL;AVENIDA DOUTOR HUGO DE MENDONCA;445;68180005;COMERCIO;ITAITUBA;PA;BAIXADA;PRIVADO
14134007000100;1;8/17/2011;CESAR LLIUYA PRODUCOES E EVENTOS EIRELI ME;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;AVENIDA RIO BRANCO;429;01205000;CAMPOS ELISEOS;SAO PAULO;SP;ATIVA;PRIVADO
08164715002720;0;2/2/2011;C 3 PARKING ESTACIONAMENTOS LTDA;2240;SOCIEDADE SIMPLES LIMITADA;RUA ABILIO SOARES;218;04005000;VILA MARIANA;SAO PAULO;SP;ATIVA;PRIVADO
58501032000150;1;1/12/1988;ESPACUS COMERCIO E REPRESENTACOES LTDA M E ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA CHARLES DARWIN;257;04379072;VILA SANTA CATARINA;SAO PAULO;SP;ATIVA;PRIVADO
04155160000160;1;11/9/2000;LANCHONETE E PASTELARIA TIA LUZIA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA RUI BARBOSA;571;36045410;SANTA TEREZINHA;JUIZ DE FORA;MG;ATIVA;PRIVADO
15287769000100;1;3/29/2012;JOAO LOURENCO LEITE FILHO MEI;2135;EMPRESARIO INDIVIDUAL;RUA GABRIEL LEITE DE CARVALHO;317;13311360;NOSSA SENHORA APARECIDA;ITU;SP;ATIVA;PRIVADO
07741637000340;0;5/7/2007;FLORAGUA INDUSTRIA E COMERCIO DE AGUAS MINERAIS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA ANTONIO POMPEU;1093;60040000;CENTRO;FORTALEZA;CE;BAIXADA;PRIVADO
27728351000170;1;8/31/1982;VLADEMIR PESCA EPP;2135;EMPRESARIO INDIVIDUAL;AVENIDA PREFEITO SAMUEL BATISTA CRUZ;2340;29901552;SHELL;LINHARES;ES;ATIVA;PRIVADO
80896517000140;1;6/19/1990;IGREJA BATISTA ALVORADA;3999;ASSOCIACAO PRIVADA;AVENIDA PIONEIRO ALFEU TEODORO DE OLIVEIRA;1240;87308355;JARDIM ALVORADA;CAMPO MOURAO;PR;ATIVA;PRIVADO
08353301000100;1;10/13/2006;LUIZ CARLOS DA COSTA BOUCINHA;4120;PRODUTOR RURAL PESSOA FISICA;SITIO SAO LUIZ;SN;16310000;PARAGUAI;ALTO ALEGRE;SP;ATIVA;PRIVADO
08471563000170;1;11/16/2006;JGMN CONSULTORIA EM PUBLICIDADE LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PROFESSOR PEDREIRA DE FREITAS;372;03312052;TATUAPE;SAO PAULO;SP;ATIVA;PRIVADO
07127748000280;0;11/10/2005;FARMACIA & DRUGSTORE DUMONE LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA EMILIO JOHNSON;690;83501000;VILA SANTA TEREZINHA CENTRO;ALMIRANTE TAMANDARE;PR;ATIVA;PRIVADO
07128353000110;1;12/2/2004;JOSE ROQUE FERNANDES SANTOS ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA MANOEL NOVAES;4;47600000;CENTRO;BOM JESUS DA LAPA;BA;ATIVA;PRIVADO
13555489000100;1;4/26/2011;AMARILDO DA SILVA OLIVEIRA MEI;2135;EMPRESARIO INDIVIDUAL;RUA ORLANDINO FORMIGAL;555;88372122;MEIA PRAIA;NAVEGANTES;SC;ATIVA;PRIVADO
10158853000100;1;7/15/2008;ALOIZIO AUGUSTO DE MOURA ME;2135;EMPRESARIO INDIVIDUAL;RUA TABOCA;98;29112470;RIO MARINHO;VILA VELHA;ES;ATIVA;PRIVADO
09105322000170;1;8/31/2007;S S A DECORACOES DE ITU LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JUPITER;11;13308432;JARDIM NOVO MUNDO;ITU;SP;ATIVA;PRIVADO
08605005000150;1;1/18/2007;NH INCOPAR ADMINISTRADORA DE BENS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DAGOBERTO NOGUEIRA;100;88301060;CENTRO;ITAJAI;SC;ATIVA;PRIVADO
15345469000130;1;3/15/2012;WALTER SILVA CHAGAS ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA EDUARDO FROES DA MOTA;970;44090156;TOMBA;FEIRA DE SANTANA;BA;ATIVA;PRIVADO
16692548000180;1;8/14/2012;CINTIA MEIRELES DA FONSECA MEI;2135;EMPRESARIO INDIVIDUAL;RUA WASHINGTON LUIZ;9;28680000;CENTRO;CACHOEIRAS DE MACACU;RJ;BAIXADA;PRIVADO
15768832000120;1;6/25/2012;BENAIA NEVES RODRIGUES SANTOS MEI;2135;EMPRESARIO INDIVIDUAL;RUA FEIJAO;SN;65413000;CAXUXA;ALTO ALEGRE DO MARANHAO;MA;ATIVA;PRIVADO
10710557000170;1;3/18/2009;EXTRA EMPREENDIMENTOS EM CONSTRUCAO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA VALDIVINO TITO;57;64019060;PICARRA;TERESINA;PI;ATIVA;PRIVADO
09331049000100;1;1/16/2008;M DO N SOARES ME;2135;EMPRESARIO INDIVIDUAL;RUA SAO JOAO DE DEUS;10;59010690;ROCAS;NATAL;RN;ATIVA;PRIVADO
12113921000140;1;5/13/2010;SOMAPI SOCIEDADE MACONICA PRO IDOSO DO RIO GRANDE DO NORTE;3999;ASSOCIACAO PRIVADA;AVENIDA PRAIA DE MURIU;260;59092390;PONTA NEGRA;NATAL;RN;ATIVA;PRIVADO
14383933000110;1;9/30/2011;LUCIANE RODRIGUES MARTINS MEI;2135;EMPRESARIO INDIVIDUAL;RUA TRAJANO;168;88010010;CENTRO;FLORIANOPOLIS;SC;ATIVA;PRIVADO
56568595000130;1;10/14/1986;FAX CENTER LTDA SC;2240;SOCIEDADE SIMPLES LIMITADA;AVENIDA IPIRANGA;1071;01039000;REPUBLICA;SAO PAULO;SP;BAIXADA;PRIVADO
91992388000100;1;6/10/1988;PERI RAMOS PRODUCOES ARTISTICAS LTDA;2240;SOCIEDADE SIMPLES LIMITADA;RUA MASCARENHAS DE MORAES;451;97300000;CENTRO;SAO GABRIEL;RS;BAIXADA;PRIVADO
58618570000120;1;2/19/1988;ADEMIR BALSANI P VENCESLAU;2135;EMPRESARIO INDIVIDUAL;RUA XISTO ERBELA;212;19400000;VILA LUIZA;PRESIDENTE VENCESLAU;SP;BAIXADA;PRIVADO
92193374000350;0;2/14/1973;COOPERATIVA REGIONAL SUDESTE DOS PRODUTORES DE LAS LTDA;2143;COOPERATIVA;RUA DOUTOR BARCELOS;SN;96470000;CENTRO;PINHEIRO MACHADO;RS;BAIXADA;PRIVADO
10154752000160;1;7/15/2008;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PV;3999;ASSOCIACAO PRIVADA;RUA VEREADOR ANTONIO CAMILO NOGUEIRA;335;19220000;CENTRO;NARANDIBA;SP;BAIXADA;PRIVADO
92217264000110;1;7/8/1988;ELASTOMEROS QUIMICA E CONSULTORIA TECNICA LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA PRESIDENTE VARGAS;516;93700000;CENTRO;CAMPO BOM;RS;BAIXADA;PRIVADO
57418543000140;1;5/7/1987;RIVOLLI MOVEIS E DESIGN DE INTERIORES LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JOSE PELOSINI;95;09720040;JARDIM OLAVO BILAC;SAO BERNARDO DO CAMPO;SP;BAIXADA;PRIVADO
72807373000180;1;9/17/1993;J P COM E REPRESENTACAO DE PRODUTOS SIDERURGICOS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA SENADOR LACERDA FRANCO;1410;13250400;CENTRO;ITATIBA;SP;BAIXADA;PRIVADO
38730982000140;1;11/21/1990;STEP MINAS LTDA ME;2240;SOCIEDADE SIMPLES LIMITADA;RUA OUTONO;426;30310020;CARMO;BELO HORIZONTE;MG;BAIXADA;PRIVADO
72927510000110;1;10/15/1993;ROBERTO MONTEIRO DOS SANTOS VAREJAO DE MOVEIS GUARULHOS;2135;EMPRESARIO INDIVIDUAL;RUA JOAO GONCALVES;504;07010010;CENTRO;GUARULHOS;SP;BAIXADA;PRIVADO
03961790000160;1;7/12/2000;CENTURION GOMES & SILVA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA SANTO AMARO;440;78850000;CENTRO;PRIMAVERA DO LESTE;MT;BAIXADA;PRIVADO
51579498000120;1;8/1/1979;FALBRAN PRODUTOS SIDERURGICOS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA PRESIDENTE ALTINO;1500;05323002;JAGUARE;SAO PAULO;SP;BAIXADA;PRIVADO
40398240000100;1;2/28/1992;CLAUDIO ROBERTO KLABIN LTDA SC;2240;SOCIEDADE SIMPLES LIMITADA;AVENIDA PRESIDENTE VARGAS;529;20071003;CENTRO;RIO DE JANEIRO;RJ;BAIXADA;PRIVADO
15654243000110;1;6/4/2012;GLORIA MARIA DE CAMPOS MEI;2135;EMPRESARIO INDIVIDUAL;RUA BASILIO TIECHER;144;85601570;ALVORADA;FRANCISCO BELTRAO;PR;ATIVA;PRIVADO
02984393000140;1;2/18/1999;CONDOMINIO DO BOURBON SHOPPING CANOAS;3085;CONDOMINIO EDILICIO;AVENIDA PRESIDENTE GETULIO VARGAS;5765;92010011;CENTRO;CANOAS;RS;ATIVA;PRIVADO
14071141000100;1;8/5/2011;MILTON ARAUJO DA SILVA MEI;2135;EMPRESARIO INDIVIDUAL;AVENIDA DAS CEREJEIRAS;1474;02124001;JARDIM JAPAO;SAO PAULO;SP;ATIVA;PRIVADO
15905934000140;1;7/4/2012;ELEICAO 2012 WELINGTON LAZARO BATISTA VEREADOR;4090;CANDIDATO A CARGO POLITICO ELETIVO;RUA DELMINDA FERNANDES DE OLIVEIRA;163;35628000;GUARA 1;MORADA NOVA DE MINAS;MG;BAIXADA;PRIVADO
05740596000180;1;6/10/2003;APM DA EMM JOAQUIM SOARES;3999;ASSOCIACAO PRIVADA;AVENIDA DA ALDEIA;905;06440000;ALDEIA DE BARUERI;BARUERI;SP;ATIVA;PRIVADO
16983649000100;1;9/12/2012;L F F RODRIGUES ME;2135;EMPRESARIO INDIVIDUAL;ALAMEDA DOUTOR JOAO PAULINO;198;87033450;JARDIM ALVORADA;MARINGA;PR;ATIVA;PRIVADO
15917531000110;1;8/26/2011;COMISSAO PROVISORIA DO PARTIDO VERDE;3271;ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO;RUA MANDACARU;101;56380000;AGROVILA;SANTA MARIA DA BOA VISTA;PE;ATIVA;PUBLICO
14080782000120;1;5/28/1986;COMERCIAL BAVIERA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RODOVIA BR 316;SN;68620000;INTERIOR;VISEU;PA;ATIVA;PRIVADO
11289099000100;1;10/13/2009;UNIDADE EXECUTORA DA ESCOLA MUNICIPAL MARCELINO ZAIDAN;3999;ASSOCIACAO PRIVADA;PARQUE POVOADO RIACHO SECA;SN;65400000;ZONA RURAL;CODO;MA;ATIVA;PRIVADO
10551900000180;1;12/19/2008;M ALVES DOS SANTOS EVENTOS ME;2135;EMPRESARIO INDIVIDUAL;RUA MINAS GERAIS;1159;14415000;CENTRO;PATROCINIO PAULISTA;SP;ATIVA;PRIVADO
04877278000100;1;1/10/2002;MARIO MELO REPRESENTACOES LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA SARGENTO AFONSO BARRETO;76;55030130;VASSOURAL;CARUARU;PE;ATIVA;PRIVADO
13508018000140;1;4/13/2011;EDE CARLOS ALVES PEREIRA ME;2135;EMPRESARIO INDIVIDUAL;RUA GERALDO GASPERI;3641;13278085;CHACARAS SAO BENTO;VALINHOS;SP;ATIVA;PRIVADO
08105428000100;1;7/4/2006;JOSE CARLOS DA SILVA;4120;PRODUTOR RURAL PESSOA FISICA;ESTRADA BIRIGUI AO BAIRRO VEADO;;16200970;SAO JOSE DO VEADO;BIRIGUI;SP;ATIVA;PRIVADO
13796791000150;1;6/13/2011;JOSIAS ALEIXO DA SILVA MEI;2135;EMPRESARIO INDIVIDUAL;RUA MANOEL LOPES CARVALHO RAMOS;SN;74920380;CIDADE SATELITE SAO LUIZ;APARECIDA DE GOIANIA;GO;BAIXADA;PRIVADO
08312307000130;1;9/8/2006;M&C COMERCIO E CULTIVO DE CANA DE ACUCAR LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DEMOSTHENES GONCALVES;1;17340000;JARDIM CAMPOS SALLES;BARRA BONITA;SP;ATIVA;PRIVADO
08357786000100;1;10/16/2006;GLEBER RODRIGO MANCIN;4120;PRODUTOR RURAL PESSOA FISICA;SITIO AGUAS DE SANTO ISIDORO;SN;13630970;SANTA TEREZA;PIRASSUNUNGA;SP;ATIVA;PRIVADO
84412956000190;1;6/23/1993;M PAZ DA SILVA SANTOS;2135;EMPRESARIO INDIVIDUAL;RUA MATO GROSSO;1181;68908350;PACOVAL;MACAPA;AP;ATIVA;PRIVADO
15351096000100;1;3/23/2012;LINDACI PEREIRA DA SILVA SERVICOS ELETRICOS ME;2135;EMPRESARIO INDIVIDUAL;RUA EDUARDO;214;07097290;JARDIM FLOR DA MONTANHA;GUARULHOS;SP;BAIXADA;PRIVADO
15361762000190;1;4/1/2011;COMISSAO PROVISORIA MUNICIPAL DO PARTIDO PROGRESSISTA PP DE VESPASIANO MG;3271;ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO;AVENIDA THALES CHAGAS;830;33200000;NAZIA;VESPASIANO;MG;ATIVA;PUBLICO
15997387000170;1;7/5/2012;ELEICAO 2012 JOSE ALFREDO NETO GONZAGA DE OLIVEIRA VEREADOR;4090;CANDIDATO A CARGO POLITICO ELETIVO;RODOVIA BR 116;;83840000;CAMPINA DOS PRETOS;QUITANDINHA;PR;BAIXADA;PRIVADO
14403071000140;1;9/20/2011;ZOE ESPACO DE ESTETICA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA RIO DE JANEIRO;131;11075340;VILA BELMIRO;SANTOS;SP;BAIXADA;PRIVADO
09586169000140;1;5/28/2008;JOAO PEREIRA DOS SANTOS;4120;PRODUTOR RURAL PESSOA FISICA;CHACARA SAO JOAO;SN;17900000;TOCANTINS;DRACENA;SP;ATIVA;PRIVADO
10762440000130;1;3/26/2009;MUNDO DAS PEDRAS CARAGUA DECORACOES E AR CONDICIONADO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA PRESIDENTE CAMPOS SALLES;134;11675000;PONTE SECA;CARAGUATATUBA;SP;ATIVA;PRIVADO
03607578000280;0;4/3/2001;LUIZ CARLOS CASAGRANDE ME;2135;EMPRESARIO INDIVIDUAL;LINHA DOM CARLOS;SN;89687000;LINHA DOM CARLOS;PASSOS MAIA;SC;ATIVA;PRIVADO
13726753000120;1;5/31/2011;JACKSON DE SA SOUTO MEI;2135;EMPRESARIO INDIVIDUAL;RUA DOIS;251;68555690;ITAMARATI;XINGUARA;PA;ATIVA;PRIVADO
14626148000140;1;11/17/2011;DANIELE BENTES DO NASCIMENTO MEI;2135;EMPRESARIO INDIVIDUAL;AVENIDA MAGALHAES BARATA;44;68775000;PEPEUA;SAO CAETANO DE ODIVELAS;PA;ATIVA;PRIVADO
16948077000390;0;11/7/1984;DISTRIBUIDORA PROGRESSO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA SAO PAULO;855;35010180;CENTRO;GOVERNADOR VALADARES;MG;ATIVA;PRIVADO
12623871000140;1;10/4/2010;ALEXANDRO SANTOS GOMES MEI;2135;EMPRESARIO INDIVIDUAL;RUA RIO CAMISAS;395;95588000;CENTRO;XANGRI LA;RS;ATIVA;PRIVADO
37628765000180;1;2/3/1993;PROJETO BASICO MATERIAIS PARA CONSTRUCOES LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA REZENDE;1146;74455210;SAO FRANCISCO;GOIANIA;GO;ATIVA;PRIVADO
00484851000580;0;12/29/2003;JP SERVICOS E CONSULTORIA EIRELI;2313;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES;RUA IPE;2;68515000;CHACARA DA LUA;PARAUAPEBAS;PA;ATIVA;PRIVADO
15503583000140;1;5/9/2012;DALVAN DE S AVILA & CIA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA OSVALDO ARANHA;47;95400000;BRITADEIRA;SAO FRANCISCO DE PAULA;RS;ATIVA;PRIVADO
15507524000140;1;5/10/2012;MARCIA BACHIEGA QUEVEDO DE SOUZA MEI;2135;EMPRESARIO INDIVIDUAL;AVENIDA BARTOLOMEU ORTIZ DE OLIVER;1438;19360000;CENTRO;SANTO ANASTACIO;SP;ATIVA;PRIVADO
00868325000190;1;9/28/1995;MARIA DAS DORES SANTOS DE LIMA ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA DOM AURELIANO MATOS;1542;62930000;CENTRO;LIMOEIRO DO NORTE;CE;ATIVA;PRIVADO
01171954000120;1;5/2/1996;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CURTO PRAZO FACIL III;2224;CLUBE FUNDO DE INVESTIMENTO;CIDADE DE DEUS;SN;06029000;VILA YARA;OSASCO;SP;BAIXADA;PRIVADO
00947238000200;0;4/20/1998;FERREIRA E ALVES ASSOCIADOS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;PRACA DRAUGUSTO GONCALVES;146;35680054;CENTRO;ITAUNA;MG;ATIVA;PRIVADO
00296771000330;0;10/19/1995;TEO CAR PARKING ADMINISTRAC DE ESTACIONAMENTOS EPP LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA SEGISMUNDO MENDES;290;38010140;CENTRO;UBERABA;MG;ATIVA;PRIVADO
00471000000250;0;6/20/2002;R N RIBEIRO & CIA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA PARAIBA;1369A;87209128;VILA OPERARIA;CIANORTE;PR;ATIVA;PRIVADO
14181114000190;1;8/25/2011;JOAREZ PORTO PEREIRA MEI;2135;EMPRESARIO INDIVIDUAL;AVENIDA BRASIL;607;89990000;CENTRO;SAO LOURENCO DO OESTE;SC;ATIVA;PRIVADO
12511915000140;1;9/12/2010;SONIA REGINA SILVA DE SOUZA MEI;2135;EMPRESARIO INDIVIDUAL;RUA SEPETIBA;448;25565250;JARDIM JOSE BONIFACIO;SAO JOAO DE MERITI;RJ;ATIVA;PRIVADO
13956767000130;1;7/15/2011;VICTORIA BASILIA ARCANI MACHACA MEI;2135;EMPRESARIO INDIVIDUAL;RUA RODRIGUES DOS SANTOS;100;03009010;BRAS;SAO PAULO;SP;ATIVA;PRIVADO
05136288000140;1;11/30/1984;VILSON PAZ DO NASCIMENTO ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA RIO BRANCO;1037;68800000;CENTRO;BREVES;PA;ATIVA;PRIVADO
15394517000180;1;4/19/2012;LENILCIO DO VALE SANTANA MEI;2135;EMPRESARIO INDIVIDUAL;RUA OSVALDO CRUZ;6;67118270;AGUAS LINDAS;ANANINDEUA;PA;ATIVA;PRIVADO
88963483000170;1;6/9/1983;EDSON BENDER ME;2135;EMPRESARIO INDIVIDUAL;LOCALIDADE COQUEIRO;SN;96170000;1 SUBDISTRITO;SAO LOURENCO DO SUL;RS;ATIVA;PRIVADO
15658353000150;1;6/5/2012;JORGE ALVES JUREMA MEI;2135;EMPRESARIO INDIVIDUAL;TRAVESSA RUI FARO;1212;68790000;SAO RAIMUNDO;SANTA ISABEL DO PARA;PA;ATIVA;PRIVADO
10793710000170;1;4/27/2009;CERAMICA GUIMARAES EPP LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RODOVIA PI 240;;64830000;ZONA RURAL;JERUMENHA;PI;ATIVA;PRIVADO
00356513000130;1;12/5/1994;C & B COMERCIO E SERVICOS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DOS RODRIGUES;481;02750000;VILA CARBONE;SAO PAULO;SP;BAIXADA;PRIVADO
10384415000160;1;9/19/2008;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA APORTE IMEDIATO XIII RENDA FIXA LONGO PRAZO;2224;CLUBE FUNDO DE INVESTIMENTO;SETOR BANCARIO SUL;;70092900;CENTRO;BRASILIA;DF;BAIXADA;PRIVADO
14442621000130;1;10/11/2011;ALDEVINO FRANCISCO DE OLIVEIRA;4120;PRODUTOR RURAL PESSOA FISICA;FAZENDA RANCHO ALEGRE;SN;19430000;AREIA DOURADA;MARABA PAULISTA;SP;ATIVA;PRIVADO
03009114000190;1;1/18/1999;MARLENE APARECIDA DO NASCIMENTO ME;2135;EMPRESARIO INDIVIDUAL;RUA PADRE JOSE APARECIDO CHIO;167;17230000;CENTRO;ITAPUI;SP;ATIVA;PRIVADO
16205005000190;1;7/7/2012;RONALDO OLIVEIRA DE CARVALHO MEI;2135;EMPRESARIO INDIVIDUAL;RUA DA ADUTORA;381C;41510350;SAO CRISTOVAO;SALVADOR;BA;ATIVA;PRIVADO
02159990000130;1;9/16/1997;NADIA DE OLIVEIRA GUIMARAES BAR E MERCEARIA ME;2135;EMPRESARIO INDIVIDUAL;RUA PREFEITO MIRANDA SOBRINHO;196;27943100;VISCONDE DE ARAUJO;MACAE;RJ;ATIVA;PRIVADO
09312081000130;1;10/2/2007;MAHMUD MARTINS KHALAF EIRELI ME;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;RUA VEREADOR ROMEU MEDEIROS;422;79240000;CENTRO;JARDIM;MS;ATIVA;PRIVADO
02700976000100;1;8/18/1998;J A M REPRESENTACOES COMERCIAIS LTDA ME SC;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PROFESSOR WALTER CARRETERO;59;18053120;JULIO DE MESQUITA;SOROCABA;SP;ATIVA;PRIVADO
05067164000150;1;5/20/2002;PERFECTON INDUSTRIA E COMERCIO EPP LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA TENENTE ANTONIO JOAO;2405;89223100;BOM RETIRO;JOINVILLE;SC;ATIVA;PRIVADO
02375333000120;1;9/25/1997;K TEL SERVICOS DE TELECOMUNICACOES LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA SANCHO VILELA;260;37540000;NOVO HORIZONTE;SANTA RITA DO SAPUCAI;MG;ATIVA;PRIVADO
14507220000110;1;10/24/2011;LAUDINEIA ALVES DA SILVA MEI;2135;EMPRESARIO INDIVIDUAL;RUA MACIEL PINHEIRO;40;55540000;CENTRO;PALMARES;PE;ATIVA;PRIVADO
14509698000180;1;10/24/2011;ODAILTON PIO MARTINS MEI;2135;EMPRESARIO INDIVIDUAL;RUA ALBARDAO;1300;08110400;JARDIM AIMORE;SAO PAULO;SP;ATIVA;PRIVADO
14488494000100;1;10/10/2011;PEREIRA IMOVEIS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DESEMBARGADOR CLOTARIO PORTUGAL;680;83601320;CENTRO;CAMPO LARGO;PR;ATIVA;PRIVADO
